policy,seed,total_reward,final_revenue,units_sold,initial_inventory,sell_through_pct,spoilage_pct,mean_price,mean_discount_depth_pct,steps
q_learning,5000338,1120227.8107369188,1227932.7933637802,100,100,100.0,0.0,13012.358542892134,32.24845182370294,22
q_learning,5000339,1586444.790887312,1585872.3871954726,100,100,100.0,0.0,16071.119820709027,16.890848309851958,25
q_learning,5000340,757263.2994264426,974858.8863147545,100,100,100.0,0.0,10294.935120614482,46.5376605481996,20
q_learning,5000341,1677122.678880376,1662957.64845307,100,100,100.0,0.0,18674.855107300384,10.121734125574873,26
q_learning,5000342,1134943.174580991,1232049.3473015833,100,100,100.0,0.0,12671.985546163456,34.012801551124326,23
q_learning,5000343,413079.98628870683,766954.0835929554,100,100,100.0,0.0,8684.008815097926,55.06979093360855,17
q_learning,5000344,1746160.7958039625,1749781.3534390829,100,100,100.0,0.0,18690.202195805265,10.720505458187793,29
q_learning,5000345,1405057.190055767,1455191.7507153621,100,100,100.0,0.0,16010.97442494351,19.231254246000695,25
q_learning,5000346,1071906.6077218053,1566067.7230561718,72,100,72.0,28.0,25986.42248522017,4.087621093333326,30
q_learning,5000347,1102344.721954965,1221904.725493618,100,100,100.0,0.0,12404.497332646892,35.414878359576825,23
q_learning,5000348,1323125.550779512,1570015.6042829899,86,100,86.0,14.0,24326.78989198532,8.401168308297104,30
q_learning,5000349,1418385.658963581,1625500.3201439094,88,100,88.0,12.0,20471.48397841222,7.082058731897867,30
q_learning,5000350,1615754.5834848708,1835606.8505058466,86,100,86.0,14.0,22105.90398759265,2.0826835165540905,30
q_learning,5000351,1192237.558687763,1295105.2458025394,100,100,100.0,0.0,15386.699202632091,25.373022726942914,23
q_learning,5000352,1434015.6258652417,1503186.9187196428,100,100,100.0,0.0,19373.14935377384,19.18518417408235,29
q_learning,5000353,1097401.3085304953,1215807.2704361088,100,100,100.0,0.0,12864.236929853156,33.005089088131854,23
q_learning,5000354,1129720.4090018556,1231701.7426195433,100,100,100.0,0.0,12854.477857523221,33.09765049546282,21
